Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Used	Calculated Concentration	Adduct / Charge	Accuracy	Formula	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable
1	2021_10_08_5_5FU	Standard	5FU	Quantifiers	Group 1	5	0.438	91523.1884769297	0.438612866760837	0.000612866760836606	True	4.1898651199008		83.797302398016		131	Pass	Pass	True
2	2021_10_08_5_5FU_1	Standard	5FU	Quantifiers	Group 1	5	0.438	89697.4645851801	0.454631046106237	0.0166310461062366	True	4.0722239872471		81.4444797449421		131	Pass	Pass	True
3	2021_10_08_5_5FU_2	Standard	5FU	Quantifiers	Group 1	5	0.438	84472.0944127438	0.438089705056219	8.97050562193025E-05	True	3.73552550375891		74.7105100751782		131	Fail	Pass	True
4	2021_10_08_10_5FU	Standard	5FU	Quantifiers	Group 1	10	0.438	153865.944996159	0.446858868653993	0.00885886865399288	True	8.20694159176946		82.0694159176946		131	Fail	Pass	True
5	2021_10_08_10_5FU_1	Standard	5FU	Quantifiers	Group 1	10	0.438	179551.548206079	0.441394920825563	0.00339492082556309	True	9.86200206841838		98.6200206841838		131	Pass	Pass	True
6	2021_10_08_10_5FU_2	Standard	5FU	Quantifiers	Group 1	10	0.438	176261.805234661	0.438871644799259	0.000871644799259164	True	9.6500263742589		96.500263742589		131	Pass	Pass	True
7	2021_10_08_20_5FU	Standard	5FU	Quantifiers	Group 1	20	0.438	291617.577430282	0.432814776012448	0.00518522398755178	True	17.0830143307401		85.4150716537004		131	Pass	Pass	True
8	2021_10_08_20_5FU_1	Standard	5FU	Quantifiers	Group 1	20	0.438	371968.686486563	0.457829275844159	0.0198292758441591	True	22.2604650515625		111.302325257812		131	Pass	Pass	True
9	2021_10_08_20_5FU_2	Standard	5FU	Quantifiers	Group 1	20	0.438	371919.426853144	0.443761303530027	0.00576130353002735	True	22.2572909905253		111.286454952626		131	Pass	Pass	True
10	2021_10_08_39_5FU	Standard	5FU	Quantifiers	Group 1	39	0.438	658402.116308592	0.453647141237671	0.0156471412376706	True	40.7168993823065		104.402306108478		131	Pass	Pass	True
11	2021_10_08_39_5FU_1	Standard	5FU	Quantifiers	Group 1	39	0.438	682471.872560571	0.44478236805361	0.00678236805360954	True	42.2678422170786		108.379082607894		131	Pass	Pass	True
12	2021_10_08_39_5FU_2	Standard	5FU	Quantifiers	Group 1	39	0.438	707499.095901791	0.420135000234546	0.0178649997654536	True	43.8804797655836		112.514050680984		131	Pass	Pass	True
13	2021_10_08_78_5FU	Standard	5FU	Quantifiers	Group 1	78	0.438	1410504.05204438	0.445392726145726	0.00739272614572573	True	89.1788404188602		114.331846690846		131	Pass	Pass	True
14	2021_10_08_78_5FU_1	Standard	5FU	Quantifiers	Group 1	78	0.438	1378888.59352689	0.446163704150962	0.00816370415096246	True	87.141687722239		111.720112464409		131	Pass	Pass	True
15	2021_10_08_78_5FU_2	Standard	5FU	Quantifiers	Group 1	78	0.438	1011368.83307387	0.440231859494423	0.00223185949442339	True	63.4604284213728		81.3595236171447		131	Fail	Pass	True
16	2021_10_08_156_5FU	Standard	5FU	Quantifiers	Group 1	156	0.438	2481090.53183428	0.453841920664354	0.015841920664354	True	158.162440105188		101.386179554607		131	Pass	Pass	True
17	2021_10_08_156_5FU_1	Standard	5FU	Quantifiers	Group 1	156	0.438	2456866.63671144	0.443189997380451	0.00518999738045095	True	156.60156528046		100.385618769526		131	Pass	Pass	True
18	2021_10_08_156_5FU_2	Standard	5FU	Quantifiers	Group 1	156	0.438	3030768.20020808	0.459718600826507	0.021718600826507	True	193.581105432489		124.090452200314		131	Fail	Pass	True
19	2021_10_08_312_5FU	Standard	5FU	Quantifiers	Group 1	312	0.438	4615194.09901827	0.449104456723861	0.0111044567238612	True	295.674120802552		94.7673464110744		131	Pass	Pass	True
20	2021_10_08_312_5FU_1	Standard	5FU	Quantifiers	Group 1	312	0.438	6650792.21303802	0.449629674617452	0.0116296746174521	True	426.838569514196		136.807233818652		131	Fail	Pass	True
21	2021_10_08_312_5FU_2	Standard	5FU	Quantifiers	Group 1	312	0.438	5086661.96275741	0.447074825491592	0.00907482549159222	True	326.053311079204		104.50426637154		131	Pass	Pass	True
22	2021_10_08_625_5FU	Standard	5FU	Quantifiers	Group 1	625	0.438	8223390.70109163	0.450680876723227	0.0126808767232272	True	528.169481696558		84.5071170714493		131	Fail	Pass	True
23	2021_10_08_625_5FU_1	Standard	5FU	Quantifiers	Group 1	625	0.438	10345671.6747882	0.45833403842963	0.0203340384296303	True	664.91936960858		106.387099137373		131	Pass	Pass	True
24	2021_10_08_625_5FU_2	Standard	5FU	Quantifiers	Group 1	625	0.438	9328266.06764119	0.431688494745149	0.00631150525485097	True	599.362497326922		95.8979995723075		131	Pass	Pass	True
25	2021_10_08_625_DHFU	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	3334.66299824392	0.424805953415106	0.0131940465848944	False	< 0		N/A		131	Pass	Pass	True
26	2021_10_08_625_DHFU_1	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	4658.84951806164	0.426303552308473	0.011696447691527	False	< 0		N/A		131	Pass	Pass	True
27	2021_10_08_625_DHFU_2	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	3914.77714107612	0.431953076640899	0.00604692335910134	False	< 0		N/A		131	Pass	Pass	True
28	2021_10_08_1250_5FU_1	Standard	5FU	Quantifiers	Group 1	1250	0.438	19142269.4119896	0.445803156579144	0.00780315657914382	True	1231.73110164525		98.53848813162		131	Pass	Pass	True
29	2021_10_08_1250_5FU	Standard	5FU	Quantifiers	Group 1	1250	0.438	18553188.4188952	0.438198724712361	0.000198724712360709	True	1193.77346984476		95.5018775875807		131	Pass	Pass	True
30	2021_10_08_1250_5FU_2	Standard	5FU	Quantifiers	Group 1	1250	0.438	19304266.4418674	0.437072360398027	0.000927639601973118	True	1242.16943471822		99.3735547774574		131	Pass	Pass	True
31	2021_10_08_BG01	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	4506.47566327172	0.388000289968115	0.0499997100318849	True	< 0		N/A		131	Pass	Pass	True
32	2021_10_08_BG02	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	4941.4249521501	0.390237447303226	0.0477625526967738	True	< 0		N/A		131	Pass	Pass	True
33	2021_10_08_BG03	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	5142.41138419195	0.387477714965643	0.0505222850343565	True	< 0		N/A		131	Pass	Pass	True
34	2021_10_08_BG04	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	4898.80577325645	0.394480954590973	0.0435190454090273	True	< 0		N/A		131	Pass	Pass	True
35	2021_10_08_BG05	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	5088.10082791372	0.39415339005471	0.0438466099452896	True	< 0		N/A		131	Pass	Pass	True
36	2021_10_08_BG06	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	4099.42783134307	0.386586050671934	0.0514139493280663	True	< 0		N/A		131	Pass	Pass	True
37	2021_10_08_BG07	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	3823.86654522967	0.377201359344396	0.0607986406556038	True	< 0		N/A		131	Pass	Pass	True
38	2021_10_08_BG08	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	4464.37624476987	0.385189318975414	0.052810681024586	True	< 0		N/A		131	Pass	Pass	True
39	2021_10_08_BG09	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	4497.65480219614	0.389515693685494	0.0484843063145058	True	< 0		N/A		131	Pass	Pass	True
40	2021_10_08_BG10	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	14538.910260144	0.378283744392264	0.0597162556077361	True	< 0		N/A		131	Pass	Pass	True
41	2021_10_08_BG11	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	53748.3096581153	0.329870179412489	0.108129820587511	True	1.75582810576999		N/A		131	Pass	Pass	True
42	2021_10_08_BG12	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	57176.2375076344	0.337565686336149	0.100434313663851	True	1.97670778899861		N/A		131	Pass	Pass	True
43	2021_10_08_BG13	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	61271.5718974458	0.345849899981658	0.0921501000183423	True	2.24059203698934		N/A		131	Pass	Pass	True
44	2021_10_08_BG14	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	48258.5497285943	0.339080309217829	0.0989196907821711	True	1.40209357941352		N/A		131	Pass	Pass	True
45	2021_10_08_BG15	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	18079.8876256394	0.396553284522447	0.0414467154775527	True	< 0		N/A		131	Pass	Pass	True
46	2021_10_08_BG16	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	21122.5523469468	0.375162373937322	0.0628376260626782	True	< 0		N/A		131	Pass	Pass	True
47	2021_10_08_BG17	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	66525.9949408265	0.337606712091901	0.100393287908099	True	2.57916255198251		N/A		131	Pass	Pass	True
48	2021_10_08_BG18	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	47822.6129336979	0.325944175204679	0.112055824795321	True	1.37400384550097		N/A		131	Pass	Pass	True
49	2021_10_08_BG19	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	36834.4688175571	0.338275357432315	0.0997246425676854	True	0.665979085882961		N/A		131	Pass	Pass	True
50	2021_10_08_BG20	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	333859.241296798	0.302376596090701	0.135623403909299	True	19.8048701408602		N/A		131	Pass	Pass	True
51	2021_10_08_BG21	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	13795.1682554157	0.394115906942047	0.0438840930579534	True	< 0		N/A		131	Pass	Pass	True
52	2021_10_08_BG22	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	3872.2105610489	0.388457529970538	0.0495424700294624	True	< 0		N/A		131	Pass	Pass	True
53	2021_10_08_BG23	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	4195.53388318872	0.384719399038053	0.0532806009619467	True	< 0		N/A		131	Pass	Pass	True
54	2021_10_08_BG24	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	4726.107907269	0.4029524836709	0.0350475163290997	True	< 0		N/A		131	Pass	Pass	True
55	2021_10_08_BG25	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	36383.9805345297	0.335702559610866	0.102297440389134	True	0.636951721941428		N/A		131	Pass	Pass	True
56	2021_10_08_BG26	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	6214.93399964861	0.473991819797088	0.0359918197970879	True	< 0		N/A		131	Pass	Pass	True
57	2021_10_08_BG27	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	34488.3038635214	0.467470855193507	0.029470855193507	True	0.514803158442652		N/A		131	Pass	Pass	True
58	2021_10_08_BG28	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	32373.4483551962	0.326593454492126	0.111406545507874	True	0.378531732887793		N/A		131	Pass	Pass	True
59	2021_10_08_BG29	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	6032.56743786107	0.460534008476627	0.0225340084766269	True	< 0		N/A		131	Pass	Pass	True
60	2021_10_08_BG30	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	20187.4478110903	0.479670824582409	0.0416708245824087	True	< 0		N/A		131	Pass	Pass	True
61	2021_10_08_BG31	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	194228.504702924	0.297075412286804	0.140924587713196	True	10.8077166937242		N/A		131	Pass	Pass	True
62	2021_10_08_BG32	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	6501.00034984607	0.489274121036862	0.0512741210368621	True	< 0		N/A		131	Pass	Pass	True
63	2021_10_08_BG33	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	23256.0505210721	0.389757879246728	0.0482421207532723	True	< 0		N/A		131	Pass	Pass	True
64	2021_10_08_BG34	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	467.547108967987	0.482863752886692	0.0448637528866919	True	< 0		N/A		131	Pass	Pass	True
65	2021_10_08_BG35	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	17184.6052995114	0.393393596988411	0.0446064030115894	True	< 0		N/A		131	Pass	Pass	True
66	2021_10_08_BG36	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	32132.0620191847	0.487444788858014	0.0494447888580141	True	0.362977923188612		N/A		131	Pass	Pass	True
67	2021_10_08_BG37	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	10601.2497769476	0.396095522903819	0.0419044770961811	True	< 0		N/A		131	Pass	Pass	True
68	2021_10_08_BG38	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	24536.5549690947	0.391545374572091	0.0464546254279087	True	< 0		N/A		131	Pass	Pass	True
69	2021_10_08_BG39	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	34116.54421328	0.478689708588687	0.0406897085886874	True	0.490848700418101		N/A		131	Pass	Pass	True
70	2021_10_08_BG40	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	24138.5920018397	0.334809677432149	0.103190322567851	True	< 0		N/A		131	Pass	Pass	True
71	2021_10_08_BG41	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	20116.7440176454	0.397105547650565	0.0408944523494345	True	< 0		N/A		131	Pass	Pass	True
72	2021_10_08_BG42	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	89946.4611378284	0.394078671591787	0.0439213284082127	True	4.08826816381333		N/A		131	Pass	Pass	True
73	2021_10_08_BG43	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	3141.6209544446	0.396788960317535	0.0412110396824645	True	< 0		N/A		131	Pass	Pass	True
74	2021_10_08_BG44	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	27283.6182745095	0.482788708731471	0.0447887087314713	True	0.0505668207711926		N/A		131	Pass	Pass	True
75	2021_10_08_BG46	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	23937.0011567521	0.40216297455582	0.0358370254441795	True	< 0		N/A		131	Pass	Pass	True
76	2021_10_08_BG45	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	24633.6279547249	0.39615104194345	0.0418489580565496	True	< 0		N/A		131	Pass	Pass	True
77	2021_10_08_BG47	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	54269.4585910012	0.403213948394971	0.0347860516050285	True	1.78940851243663		N/A		131	Pass	Pass	True
78	2021_10_08_BG48	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	85237.2442565303	0.393134578170241	0.0448654218297592	True	3.78482819113656		N/A		131	Pass	Pass	True
79	2021_10_08_BG49	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	10277.6374327439	0.485548570819474	0.0475485708194744	True	< 0		N/A		131	Pass	Pass	True
80	2021_10_08_BG50	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	79990.7402546155	0.479293326877094	0.0412933268770939	True	3.44676794224212		N/A		131	Pass	Pass	True
81	2021_10_08_BG51	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	122241.788921919	0.473917353563502	0.0359173535635021	True	6.16922846515552		N/A		131	Pass	Pass	True
82	2021_10_08_BG52	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	24870.3795853629	0.398227169821214	0.0397728301787865	True	< 0		N/A		131	Pass	Pass	True
83	2021_10_08_BG53	Unknown	5FU	Quantifiers	Group 1	N/A	0.438	82543.8102763791	0.474032179671852	0.0360321796718522	True	3.6112758672694		N/A		131	Pass	Pass	True
