Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Used	Calculated Concentration	Adduct / Charge	Accuracy	Formula	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable
1	2021_10_08_5_CAP	Standard	CAP	Quantifiers	Group 1	5	4.245	16986916.0073817	4.22809422174577	0.0169057782542277	True	3.42576411748628		68.5152823497257		360.1	Fail	Pass	True
2	2021_10_08_5_CAP_1	Standard	CAP	Quantifiers	Group 1	5	4.245	16785519.1875282	4.22330369575527	0.0216963042447285	True	3.36357487082968		67.2714974165936		360.1	Fail	Pass	True
3	2021_10_08_10_CAP	Standard	CAP	Quantifiers	Group 1	10	4.245	37168711.2110984	4.23290463002749	0.0120953699725108	True	9.7337175036096		97.337175036096		360.1	Pass	Pass	True
4	2021_10_08_10_CAP_1	Standard	CAP	Quantifiers	Group 1	10	4.245	35632151.4413037	4.20588441591286	0.039115584087142	True	9.24804029291464		92.4804029291464		360.1	Pass	Pass	True
5	2021_10_08_20_CAP	Standard	CAP	Quantifiers	Group 1	20	4.245	47807664.4515005	4.22828970615143	0.0167102938485719	True	13.1219068758015		65.6095343790074		360.1	Fail	Pass	True
6	2021_10_08_20_CAP_1	Standard	CAP	Quantifiers	Group 1	20	4.245	6767487.35430263	4.22729576296725	0.0177042370327465	False	0.288364795783091		1.44182397891545		360.1	Fail	Pass	True
7	2021_10_08_39_CAP	Standard	CAP	Quantifiers	Group 1	39	4.245	145197371.626121	4.22882913870389	0.0161708612961124	True	46.537343229145		119.326521100372		360.1	Fail	Pass	True
8	2021_10_08_39_CAP_1	Standard	CAP	Quantifiers	Group 1	39	4.245	133475287.336815	4.21347438205824	0.0315256179417593	True	42.2529931344542		108.341008037062		360.1	Pass	Pass	True
9	2021_10_08_78_CAP	Standard	CAP	Quantifiers	Group 1	78	4.245	241875192.74422	4.23875678797744	0.00624321202255551	True	85.6789640274248		109.844825676186		360.1	Pass	Pass	True
10	2021_10_08_78_CAP_1	Standard	CAP	Quantifiers	Group 1	78	4.245	234865491.286437	4.2308068773482	0.0141931226518039	True	82.5624613911623		105.849309475849		360.1	Pass	Pass	True
11	2021_10_08_156_CAP	Standard	CAP	Quantifiers	Group 1	156	4.245	365899791.680909	4.23217060248805	0.0128293975119478	True	154.186743268929		98.8376559416214		360.1	Pass	Pass	True
12	2021_10_08_156_CAP_1	Standard	CAP	Quantifiers	Group 1	156	4.245	343015025.753321	4.22367111595892	0.0213288840410808	True	138.776533744798		88.9593165030758		360.1	Pass	Pass	True
13	2021_10_08_312_CAP	Standard	CAP	Quantifiers	Group 1	312	4.245	449141555.928894	4.21939107334607	0.0256089266539332	True	no root		N/A		360.1	Fail	Pass	True
14	2021_10_08_312_CAP_1	Standard	CAP	Quantifiers	Group 1	312	4.245	421235279.143876	4.24327003456853	0.00172996543146731	True	205.646119765289		65.9122178734901		360.1	Fail	Pass	True
15	2021_10_08_625_CAP	Standard	CAP	Quantifiers	Group 1	625	4.245	263423106.964669	4.23159025265086	0.0134097473491437	False	95.6122506991981		15.2979601118717		360.1	Fail	Pass	True
